LGA Name,Final Dispatch Code,%<=15mins,AVG RT - Seconds,Total Number
Alpine,Code 1,51.10%,1219,573
Ararat,Code 1,66.00%,875,588
Ballarat,Code 1,89.70%,618,"6,051"
Banyule,Code 1,91.40%,594,"5,415"
Bass Coast,Code 1,68.20%,842,"2,325"
Baw Baw,Code 1,69.50%,842,"2,510"
Bayside,Code 1,89.80%,630,"3,433"
Benalla,Code 1,63.80%,903,821
Boroondara,Code 1,90.80%,616,"5,076"
Brimbank,Code 1,89.70%,613,"9,894"
Buloke,Code 1,38.10%,1389,289
Campaspe,Code 1,67.00%,824,"1,957"
Cardinia,Code 1,73.60%,741,"4,486"
Casey,Code 1,87.90%,630,"13,380"
Central Goldfields,Code 1,65.30%,885,879
Colac-Otway,Code 1,65.70%,904,947
Corangamite,Code 1,46.70%,1102,709
Darebin,Code 1,92.00%,583,"7,670"
East Gippsland,Code 1,64.80%,914,"3,012"
Frankston,Code 1,91.30%,585,"7,948"
Gannawarra,Code 1,50.50%,1130,461
Glen Eira,Code 1,92.00%,588,"5,185"
Glenelg,Code 1,75.50%,783,942
Golden Plains,Code 1,34.60%,1126,754
Greater Bendigo,Code 1,80.90%,708,"6,382"
Greater Dandenong,Code 1,92.00%,580,"8,368"
Greater Geelong,Code 1,84.80%,663,"14,021"
Greater Shepparton,Code 1,85.60%,640,"4,061"
Hepburn,Code 1,37.40%,1108,787
Hindmarsh,Code 1,56.60%,1209,272
Hobsons Bay,Code 1,88.10%,634,"4,043"
Horsham,Code 1,85.00%,633,"1,091"
Hume,Code 1,88.10%,627,"12,211"
Indigo,Code 1,28.80%,1261,542
Kingston,Code 1,91.50%,594,"6,877"
Knox,Code 1,92.50%,579,"6,357"
Latrobe,Code 1,80.90%,675,"5,941"
Loddon,Code 1,31.10%,1297,482
Macedon Ranges,Code 1,67.30%,804,"1,985"
Manningham,Code 1,85.30%,692,"4,246"
Mansfield,Code 1,45.90%,1401,338
Maribyrnong,Code 1,90.50%,589,"3,685"
Maroondah,Code 1,93.60%,543,"5,128"
Melbourne,Code 1,91.80%,533,"9,816"
Melton,Code 1,83.60%,656,"7,113"
Mildura,Code 1,85.30%,650,"3,176"
Mitchell,Code 1,66.80%,825,"2,224"
Moira,Code 1,60.50%,939,"1,717"
Monash,Code 1,89.10%,644,"6,996"
Moonee Valley (1),Code 1,87.90%,659,"5,293"
Moorabool,Code 1,71.60%,773,"1,495"
Moreland,Code 1,90.60%,611,"8,228"
Mornington Peninsula,Code 1,83.00%,659,"8,676"
Mount Alexander,Code 1,52.40%,1003,848
Moyne,Code 1,42.40%,1068,571
Murrindindi,Code 1,38.90%,1298,763
Nillumbik,Code 1,70.80%,798,"2,068"
Northern Grampians,Code 1,68.10%,871,624
Port Phillip,Code 1,90.80%,575,"4,777"
Pyrenees,Code 1,47.50%,1070,440
Queenscliffe,Code 1,56.50%,911,161
South Gippsland,Code 1,47.90%,1082,"1,493"
Southern Grampians,Code 1,62.60%,957,709
Stonnington,Code 1,90.30%,612,"3,836"
